Set,Song,Segue,Date
Set 1,Shake Your Coconuts,",",2017-07-21
Set 1,Martian Monster,",",2017-07-21
Set 1,Timber (Jerry The Mule),>,2017-07-21
Set 1,555,",",2017-07-21
Set 1,Pigtail,",",2017-07-21
Set 1,Halfway to the Moon,",",2017-07-21
Set 1,Reba,",",2017-07-21
Set 1,Moonage Daydream,",",2017-07-21
Set 1,Walls of the Cave,NA,2017-07-21
Set 2,Tweezer,>,2017-07-21
Set 2,Seven Below,>,2017-07-21
Set 2,Billy Breathes,>,2017-07-21
Set 2,Sparkle,",",2017-07-21
Set 2,Everything's Right,>,2017-07-21
Set 2,Slave to the Traffic Light,>,2017-07-21
Set 2,Suzy Greenberg,",",2017-07-21
Set 2,Coconut,NA,2017-07-21
Encore,The Mango Song,>,2017-07-21
Encore,Good Times Bad Times,NA,2017-07-21
Set 1,Strawberry Fields Forever,",",2017-07-22
Set 1,Halley's Comet,>,2017-07-22
Set 1,The Moma Dance,>,2017-07-22
Set 1,Breath and Burning,>,2017-07-22
Set 1,Funky Bitch,",",2017-07-22
Set 1,Mound,",",2017-07-22
Set 1,Foam,",",2017-07-22
Set 1,Roggae,",",2017-07-22
Set 1,The Squirming Coil,NA,2017-07-22
Set 2,Down with Disease,>,2017-07-22
Set 2,Strawberry Letter 23,>,2017-07-22
Set 2,Birds of a Feather,",",2017-07-22
Set 2,I Always Wanted It This Way,>,2017-07-22
Set 2,All of These Dreams,",",2017-07-22
Set 2,Split Open and Melt,>,2017-07-22
Set 2,Down with Disease,>,2017-07-22
Set 2,Shine a Light,NA,2017-07-22
Encore,Peaches en Regalia,>,2017-07-22
Encore,Cities,",",2017-07-22
Encore,My Sweet One,NA,2017-07-22
Set 1,Sunday Morning,",",2017-07-23
Set 1,Axilla,",",2017-07-23
Set 1,Your Pet Cat,>,2017-07-23
Set 1,Back on the Train,",",2017-07-23
Set 1,How Many People Are You,",",2017-07-23
Set 1,Glide,",",2017-07-23
Set 1,Theme From the Bottom,>,2017-07-23
Set 1,It's Ice,>,2017-07-23
Set 1,More,NA,2017-07-23
Set 2,AC/DC Bag,>,2017-07-23
Set 2,Wolfman's Brother,>,2017-07-23
Set 2,Twist,>,2017-07-23
Set 2,Waves,>,2017-07-23
Set 2,Miss You,",",2017-07-23
Set 2,Boogie On Reggae Woman,",",2017-07-23
Set 2,Wading in the Velvet Sea,NA,2017-07-23
Encore,Sweet Jane,NA,2017-07-23
Set 1,Sample in a Jar,",",2017-07-25
Set 1,Lawn Boy,>,2017-07-25
Set 1,"My Friend, My Friend",>,2017-07-25
Set 1,Stash,",",2017-07-25
Set 1,Bathtub Gin,NA,2017-07-25
Set 2,Fuego,>,2017-07-25
Set 2,Thread,>,2017-07-25
Set 2,Crosseyed and Painless,>,2017-07-25
Set 2,Makisupa Policeman,->,2017-07-25
Set 2,End of Session,>,2017-07-25
Set 2,Tuesday,>,2017-07-25
Set 2,Cavern,NA,2017-07-25
Encore,Julius,>,2017-07-25
Encore,Lawn Boy,NA,2017-07-25
Set 1,White Winter Hymnal,",",2017-07-26
Set 1,Cars Trucks Buses,",",2017-07-26
Set 1,My Soul,",",2017-07-26
Set 1,Roses Are Free,>,2017-07-26
Set 1,The Very Long Fuse,",",2017-07-26
Set 1,Gumbo,",",2017-07-26
Set 1,Yarmouth Road,",",2017-07-26
Set 1,Pebbles and Marbles,",",2017-07-26
Set 1,Farmhouse,",",2017-07-26
Set 1,Tube,NA,2017-07-26
Set 2,Carini,->,2017-07-26
Set 2,Mr. Completely,>,2017-07-26
Set 2,1999,->,2017-07-26
Set 2,Steam,>,2017-07-26
Set 2,No Quarter,",",2017-07-26
Set 2,Character Zero,NA,2017-07-26
Encore,Powderfinger,NA,2017-07-26
Set 1,Chocolate Rain,",",2017-07-28
Set 1,Ass Handed,",",2017-07-28
Set 1,Free,",",2017-07-28
Set 1,Weigh,>,2017-07-28
Set 1,Undermind,>,2017-07-28
Set 1,The Oh Kee Pa Ceremony,",",2017-07-28
Set 1,The Dogs,>,2017-07-28
Set 1,Destiny Unbound,",",2017-07-28
Set 1,Divided Sky,",",2017-07-28
Set 1,Things People Do,",",2017-07-28
Set 1,Sand,NA,2017-07-28
Set 2,Have Mercy,",",2017-07-28
Set 2,Chalk Dust Torture,",",2017-07-28
Set 2,You Sexy Thing,>,2017-07-28
Set 2,Mercury,->,2017-07-28
Set 2,You Sexy Thing,>,2017-07-28
Set 2,Backwards Down the Number Line,>,2017-07-28
Set 2,Rock and Roll,NA,2017-07-28
Encore,Fee,",",2017-07-28
Encore,Space Oddity,NA,2017-07-28
Set 1,Llama,",",2017-07-29
Set 1,Wilson,>,2017-07-29
Set 1,Stealing Time From the Faulty Plan,>,2017-07-29
Set 1,Ya Mar,",",2017-07-29
Set 1,Tela,",",2017-07-29
Set 1,The Birds,>,2017-07-29
Set 1,The Line,",",2017-07-29
Set 1,Water in the Sky,",",2017-07-29
Set 1,Vultures,>,2017-07-29
Set 1,Train Song,>,2017-07-29
Set 1,Horn,",",2017-07-29
Set 1,I Am the Walrus,NA,2017-07-29
Set 2,Blaze On,>,2017-07-29
Set 2,Twenty Years Later,>,2017-07-29
Set 2,Alumni Blues,>,2017-07-29
Set 2,Letter to Jimmy Page,>,2017-07-29
Set 2,Alumni Blues,>,2017-07-29
Set 2,Meatstick,>,2017-07-29
Set 2,Dirt,>,2017-07-29
Set 2,Harry Hood,NA,2017-07-29
Encore,Cinnamon Girl,NA,2017-07-29
Set 1,The Curtain With,>,2017-07-30
Set 1,Runaway Jim,",",2017-07-30
Set 1,Waking Up Dead,",",2017-07-30
Set 1,Esther,",",2017-07-30
Set 1,Home,",",2017-07-30
Set 1,Brian and Robert,",",2017-07-30
Set 1,Nellie Kane,",",2017-07-30
Set 1,Colonel Forbin's Ascent,>,2017-07-30
Set 1,Fly Famous Mockingbird,>,2017-07-30
Set 1,David Bowie,NA,2017-07-30
Set 2,Drowned,>,2017-07-30
Set 2,A Song I Heard the Ocean Sing,",",2017-07-30
Set 2,Harpua,>,2017-07-30
Set 2,Also Sprach Zarathustra,>,2017-07-30
Set 2,Golgi Apparatus,",",2017-07-30
Set 2,In The Good Old Summer Time,NA,2017-07-30
Encore,The Wind Cries Mary,NA,2017-07-30
Set 1,O Canada,>,2017-08-01
Set 1,Crowd Control,",",2017-08-01
Set 1,Sugar Shack,",",2017-08-01
Set 1,When the Circus Comes,",",2017-08-01
Set 1,Daniel Saw the Stone,",",2017-08-01
Set 1,Army of One,",",2017-08-01
Set 1,The Wedge,",",2017-08-01
Set 1,Guelah Papyrus,",",2017-08-01
Set 1,Maple Leaf Rag,",",2017-08-01
Set 1,Guelah Papyrus,",",2017-08-01
Set 1,McGrupp and the Watchful Hosemasters,>,2017-08-01
Set 1,Limb By Limb,>,2017-08-01
Set 1,Walk Away,NA,2017-08-01
Set 2,Golden Age,",",2017-08-01
Set 2,Leaves,",",2017-08-01
Set 2,Swept Away,>,2017-08-01
Set 2,Steep,>,2017-08-01
Set 2,46 Days,>,2017-08-01
Set 2,Piper,>,2017-08-01
Set 2,Possum,NA,2017-08-01
Encore,Rock 'n' Roll Suicide,NA,2017-08-01
Set 1,Way Down in the Hole,",",2017-08-02
Set 1,Buried Alive,",",2017-08-02
Set 1,Kill Devil Falls,",",2017-08-02
Set 1,Guyute,",",2017-08-02
Set 1,I Didn't Know,",",2017-08-02
Set 1,NICU,",",2017-08-02
Set 1,Meat,>,2017-08-02
Set 1,Maze,",",2017-08-02
Set 1,Ginseng Sullivan,",",2017-08-02
Set 1,Waiting All Night,",",2017-08-02
Set 1,Heavy Things,",",2017-08-02
Set 1,Run Like an Antelope,NA,2017-08-02
Set 2,Mike's Song,>,2017-08-02
Set 2,O Holy Night,>,2017-08-02
Set 2,Taste,>,2017-08-02
Set 2,Wingsuit,>,2017-08-02
Set 2,Sneakin' Sally Through the Alley,>,2017-08-02
Set 2,Weekapaug Groove,NA,2017-08-02
Encore,A Day in the Life,NA,2017-08-02
Set 1,See That My Grave Is Kept Clean,",",2017-08-04
Set 1,Punch You in the Eye,>,2017-08-04
Set 1,Party Time,",",2017-08-04
Set 1,Big Black Furry Creature from Mars,",",2017-08-04
Set 1,Dinner and a Movie,",",2017-08-04
Set 1,Ocelot,",",2017-08-04
Set 1,Poor Heart,",",2017-08-04
Set 1,Winterqueen,",",2017-08-04
Set 1,Bold As Love,>,2017-08-04
Set 1,First Tube,NA,2017-08-04
Set 2,Dem Bones,",",2017-08-04
Set 2,No Men In No Man's Land,>,2017-08-04
Set 2,Everything In Its Right Place,",",2017-08-04
Set 2,What's the Use?,>,2017-08-04
Set 2,Scents and Subtle Sounds,>,2017-08-04
Set 2,Prince Caspian,>,2017-08-04
Set 2,Fluffhead,NA,2017-08-04
Encore,Frankenstein,NA,2017-08-04
Set 1,Soul Shakedown Party,",",2017-08-05
Set 1,Uncle Pen,",",2017-08-05
Set 1,The Sloth,",",2017-08-05
Set 1,Gotta Jibboo,",",2017-08-05
Set 1,Fuck Your Face,",",2017-08-05
Set 1,Sunshine of Your Feeling,",",2017-08-05
Set 1,Frost,>,2017-08-05
Set 1,Scent of a Mule,",",2017-08-05
Set 1,Fire,",",2017-08-05
Set 1,Alaska,>,2017-08-05
Set 1,Plasma,NA,2017-08-05
Set 2,Ghost,>,2017-08-05
Set 2,Petrichor,>,2017-08-05
Set 2,Light,>,2017-08-05
Set 2,The Lizards,",",2017-08-05
Set 2,The Horse,>,2017-08-05
Set 2,Silent in the Morning,>,2017-08-05
Set 2,Quinn the Eskimo,>,2017-08-05
Set 2,Rocky Top,NA,2017-08-05
Encore,Joy,NA,2017-08-05
Set 1,Dogs Stole Things,",",2017-08-06
Set 1,Rift,",",2017-08-06
Set 1,Ha Ha Ha,",",2017-08-06
Set 1,Camel Walk,",",2017-08-06
Set 1,Crazy Sometimes,>,2017-08-06
Set 1,Saw It Again,>,2017-08-06
Set 1,Sanity,>,2017-08-06
Set 1,Bouncing Around the Room,",",2017-08-06
Set 1,Most Events Aren't Planned,",",2017-08-06
Set 1,Bug,",",2017-08-06
Set 1,I Been Around,",",2017-08-06
Set 1,Izabella,NA,2017-08-06
Set 2,Simple,>,2017-08-06
Set 2,Rise/Come Together,>,2017-08-06
Set 2,Starman,",",2017-08-06
Set 2,You Enjoy Myself,",",2017-08-06
Set 2,Loving Cup,NA,2017-08-06
Encore,On the Road Again,>,2017-08-06
Encore,Lawn Boy Reprise,>,2017-08-06
Encore,Tweezer Reprise,NA,2017-08-06
